epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,5390.97,0.83349,0.98994,1.3897,0.74094,0.84945,0.92398,0.68243,0.84987,0.95081,1.85892,0.00043325,0.00043325,0.00043325
68,5442.55,0.77633,0.83525,1.33725,0.78893,0.92984,0.94273,0.71159,0.796,0.87588,1.78299,0.000420875,0.000420875,0.000420875
69,5494.33,0.70789,0.84616,1.27982,0.77658,0.95119,0.95125,0.75529,0.78267,0.85604,1.7506,0.0004085,0.0004085,0.0004085
70,5546.33,0.80564,0.88756,1.38788,0.71674,1,0.92625,0.75222,0.77528,0.86095,1.74361,0.000396125,0.000396125,0.000396125
71,5598.28,0.83368,0.88836,1.38915,0.70733,0.99335,0.92278,0.74598,0.79066,0.87459,1.77347,0.00038375,0.00038375,0.00038375
72,5652.02,0.74226,0.82095,1.33121,0.68647,0.9375,0.91792,0.7348,0.79212,0.87288,1.77513,0.000371375,0.000371375,0.000371375
73,5703.48,0.76151,0.85917,1.32551,0.93648,0.7154,0.92694,0.72386,0.796,0.87012,1.76346,0.000359,0.000359,0.000359
74,5755.68,0.81323,0.95237,1.3529,0.91824,0.72443,0.92042,0.72585,0.76803,0.883,1.72714,0.000346625,0.000346625,0.000346625
75,5809.87,0.72261,0.81337,1.31682,0.90725,0.71127,0.88967,0.69618,0.76838,0.97597,1.72168,0.00033425,0.00033425,0.00033425
76,5861.92,0.84037,1.02037,1.40787,0.71917,0.86714,0.88622,0.71764,0.77291,0.98975,1.71494,0.000321875,0.000321875,0.000321875
77,5912.83,0.81931,0.90434,1.35301,0.73102,0.85619,0.89021,0.71196,0.77463,0.99664,1.68717,0.0003095,0.0003095,0.0003095
78,5963.85,0.76518,0.87886,1.35578,0.66011,0.90463,0.87898,0.69984,0.78454,0.99878,1.70618,0.000297125,0.000297125,0.000297125
79,6014.8,0.76514,0.88941,1.38032,0.66527,0.87849,0.88782,0.7125,0.76006,0.99954,1.69705,0.00028475,0.00028475,0.00028475
80,6065.93,0.69633,0.86663,1.31002,0.88095,0.69613,0.89157,0.71566,0.75258,0.95323,1.68537,0.000272375,0.000272375,0.000272375
81,6116.73,0.75362,0.8142,1.37069,0.90593,0.70481,0.89662,0.70087,0.76372,0.92252,1.70425,0.00026,0.00026,0.00026
82,6169.66,0.7116,0.84786,1.32012,0.67831,0.86444,0.86478,0.68732,0.78467,0.92874,1.75056,0.000247625,0.000247625,0.000247625
83,6221.02,0.69976,0.8196,1.30473,0.71791,0.85916,0.87676,0.68105,0.81407,0.90804,1.79942,0.00023525,0.00023525,0.00023525
84,6275.23,0.70615,0.81457,1.27704,0.71035,0.81643,0.90771,0.69257,0.79798,0.89287,1.78735,0.000222875,0.000222875,0.000222875
